a,啊
ausek,漚色
ausek,àu-sek
autau,後度
autau,āu-táu
autit,拗直
autit,áu-ti̍t
autseng,喉鐘
autseng,âu-tseng
Autsiu,歐洲
Autsiu,Au-tsiu
autuinn,拗斷
autuinn,áu-tuīnn
auuankhiau,拗彎曲
auuankhiau,áu-uan-khiau
babuakuinn,貓霧仔光
babuakuinn,bâ-bū-á-kuinn
babukuinn,貓霧光
babukuinn,bâ-bū-kuinn
bagan,峇眼
bagan,Bâ-gán
bahiu,肉油
bahiu,bah-iû
bahiuphoh,肉油粕
bahiuphoh,bah-iû-phoh
bahkian,肉繭
bahkian,bah-kián
bahkuttee,肉骨茶
bahkuttee,bah-kut-têe
bahmi,肉麵
bahmi,bah-mī
bahmuai,肉糜
bahmuai,bah-muâi
bahsek,肉色
bahsek,bah-sek
bahtsho,肉燥
bahtsho,bah-tshò
bahtshui,肉碎
bahtshui,bah-tshuì
bahtsim,肉蟳
bahtsim,bah-tsîm
bahuan,肉丸
bahuan,bah-uân
bajitek,貓兒竹
bajitek,bâ-jî-tek
bakam,目暗
bakam,ba̍k-àm
bakang,目紅
bakang,ba̍k-âng
bakbaimoo,目眉毛
bakbaimoo,ba̍k-bâi-môo
bakbue,目尾
bakbue,ba̍k-bué
bakhinn,墨硯
bakhinn,ba̍k-hīnn
bakhua,目花
bakhua,ba̍k-hua
bakkhangtshiah,目空赤
bakkhangtshiah,ba̍k-khang-tshiah
bakkiannkheng,目鏡框
bakkiannkheng,ba̍k-kiànn-kheng
bakkianntiam,目鏡店
bakkianntiam,ba̍k-kiànn-tiàm
bakkianntsua,目鏡蛇
bakkianntsua,ba̍k-kiànn-tsuâ
bakkinn,目墘
bakkinn,ba̍k-kînn
bakkuinn,目光
bakkuinn,ba̍k-kuinn
bakkuli,目玖琍
bakkuli,ba̍k-kú-lí
baknihua,茉莉花
baknihua,ba̍k-nī-hua
bako,峇哥
bako,bâ--ko
bakphue,目皮
bakphue,ba̍k-phuê
BaksaTongbuthuinn,木柵動物園
BaksaTongbuthuinn,Ba̍k-sa-Tōng-bu̍t-huînn
baksek,目色
baksek,ba̍k-sek
baksek,目識
baksek,ba̍k-sek
baksin,目神
baksin,ba̍k-sîn
baksuann,目線
baksuann,ba̍k-suànn
bakthau,嘜頭
bakthau,ba̍k-thâu
bakthautsua,嘜頭紙
bakthautsua,ba̍k-thâu-tsuá
baktshat,墨賊
baktshat,ba̍k-tsha̍t
baktshiah,目赤
baktshiah,ba̍k-tshiah
baktshionn,木匠
baktshionn,ba̍k-tshiōnn
baktsiahmoo,目睫毛
baktsiahmoo,ba̍k-tsiah-môo
baktsiu,目珠
baktsiu,ba̍k-tsiu
baktsiujin,目珠仁
baktsiujin,ba̍k-tsiu-jîn
baktsiukimkim,目珠金金
baktsiukimkim,ba̍k-tsiu-kim-kim
baktsiumoo,目睭毛
baktsiumoo,ba̍k-tsiu-môo
baktsiumoo,目珠毛
baktsiumoo,ba̍k-tsiu-môo
baktsiuphue,目珠皮
baktsiuphue,ba̍k-tsiu-phuê
balakpai,峇六拜
balakpai,bâ-la̍k-pài
balatsan,峇拉煎
balatsan,bâ-la-tsan
balatsian,峇拉煎
balatsian,bâ-la-tsian
balito,峇里島
balito,Bâ-lí-tó
Balitsekkhau,麻里折口
Balitsekkhau,Bâ-lí-tsek-kháu
balitung,峇里蝀
balitung,bâ-lí-tūng
balu,峇魯
balu,bâ-lú
banbanho,慢慢好
banbanho,bān-bān-hó
banbanlai,慢慢來
banbanlai,bān-bān-lâi
Baneng,萬榮
Baneng,Bān-êng
Banenghiong,萬榮鄉
Banenghiong,Bān-êng-hiong
banghek,網域
banghek,bāng-he̍k
banghiaunn,蠓香
banghiaunn,báng-hiaunn
banghionn,蠓香
banghionn,báng-hionn
bangiu,蠓油
bangiu,báng-iû
bangka,芒茭
bangka,bâng-ka
bangkeng,夢境
bangkeng,bāng-kéng
bangkiutiaunn,網球場
bangkiutiaunn,bāng-kiû-tiâunn
bangkiutionn,網球場
bangkiutionn,bāng-kiû-tiônn
bangku,báng-kû
bangkuang,芒茪
bangkuang,bâng-kuang
bangliau,網寮
bangliau,bāng-liâu
bangteng,網頂
bangteng,bāng-téng
bangtng,盲腸
bangtng,bâng-tn̂g
bangtnghuatiam,盲腸發炎
bangtnghuatiam,bâng-tn̂g-huat-iām
bangtngiam,盲腸炎
bangtngiam,bâng-tn̂g-iām
bangtseng,蠓症
bangtseng,báng-tsèng
banheng,萬幸
banheng,bān-hēng
banho,萬和
banho,bān-hô
banhua,挽花
banhua,bán-hua
banji,萬字
banji,bān-jī
banjiphio,萬字票
banjiphio,bān-jī-phiò
banjitoo,萬字圖
banjitoo,bān-jī-tôo
bankau,慢到
bankau,bān-kàu
bankim,萬金
bankim,bān-kim
bankimiu,萬金油
bankimiu,bān-kim-iû
bankok,曼谷
bankok,Bān-kok
bankoo,萬古
bankoo,bān-kóo
banlai,慢來
banlai,bān-lâi
banlam,閩南
banlam,bân-lâm
banlamgu,閩南語
banlamgu,bân-lâm-gú
banlamlang,閩南人
banlamlang,bân-lâm-lâng
banlamtshai,閩南菜
banlamtshai,bân-lâm-tshài
banlamua,閩南話
banlamua,bân-lâm-uā
banleng,萬能
banleng,bān-lêng
banlitngsiann,萬里長城
banlitngsiann,bān-lí-tn̂g-siânn
banmee,挽搣
banmee,bán-mee
banmeeh,挽脈
banmeeh,bán-me̍eh
banni,萬年
banni,bān-nî
bannia,慢且
bannia,bān-tshiánn
banniaku,慢且久
banniaku,bān-tshiánn-kú
banputteki,萬不得已
banputteki,bān-put-tek-í
bansan,萬山
bansan,bān-san
banseng,慢性
banseng,bān-sèng
bansennkong,萬姓公
bansennkong,bān-sènn-kong
bansiankong,萬善公
bansiankong,bān-siān-kong
bansoso,慢徐徐
bansoso,bān-sô-sô
bansueia,萬歲爺
bansueia,bān-suè-iâ
bansuitshiansan,萬水千山
bansuitshiansan,bān-suí-tshian-san
bansuthong,萬事通
bansuthong,bān-sū-thong
bantee,挽茶
bantee,bán-têe
bantioh,慢著
bantioh,bān-tio̍h
bantshiannku,慢且久
bantshiannku,bān-tshiánn-kú
bantsiankue,曼煎粿
bantsiankue,bàn-tsian-kué
bat,密
bat,ba̍t
bateh,峇迪
bateh,bâ-te̍h
batehpoo,峇迪布
batehpoo,bâ-te̍h-pòo
batehsann,峇迪衫
batehsann,bâ-te̍h-sann
batoh,峇啅
batoh,bâ-to̍h
batohioh,峇啅藥
batohioh,bâ-to̍h-io̍h
batohiohtsui,峇啅藥水
batohiohtsui,bâ-to̍h-io̍h-tsuí
batsiam,麻針
batsiam,bâ-tsiam
batsiaunn,捌想
batsiaunn,bat-siāunn
batsionn,捌想
batsionn,bat-siōnn
batsuitsiam,麻醉針
batsuitsiam,bâ-tsuì-tsiam
battu,礣砥
battu,bat-tû
battue,礣砥鞋
battue,bat-tû-ê
battuin,礣砥印
battuin,bat-tû-ìn
battukiann,礣砥囝
battukiann,bat-tû-kiánn
battuloo,礣砥路
battuloo,bat-tû-lōo
battutshu,礣砥茨
battutshu,bat-tû-tshù
battutshu,礣砥厝
battutshu,bat-tû-tshù
batu,礣砥
batu,bat-tû
batue,礣砥鞋
batue,bat-tû-ê
batuin,礣砥印
batuin,bat-tû-ìn
batukiann,礣砥囝
batukiann,bat-tû-kiánn
batuloo,礣砥路
batuloo,bat-tû-lōo
batumau,峇都茅
batumau,bâ-tú-mâu
batutshu,礣砥茨
batutshu,bat-tû-tshù
batutshu,礣砥厝
batutshu,bat-tû-tshù
beansuinn,袂按算
beansuinn,bē-àn-suìnn
bee,馬
bee,bée
beea,馬仔
beea,bée-á
beebin,馬面
beebin,bée-bīn
beebue,馬尾
beebue,bée-bué
beeh,麥
beeh,be̍eh
beeha,麥仔
beeha,be̍eh-á
beehatee,麥仔茶
beehatee,be̍eh-á-têe
beehgee,麥芽
beehgee,be̍eh-gêe
beehgeeko,麥芽膏
beehgeeko,be̍eh-gêe-ko
beehgeethng,麥芽糖
beehgeethng,be̍eh-gêe-thn̂g
beehi,馬戲
beehi,bée-hì
beehipan,馬戲班
beehipan,bée-hì-pan
beehithuan,馬戲團
beehithuan,bée-hì-thuân
Beehliauhiong,麥寮鄉
Beehliauhiong,Be̍eh-liâu-hiong
beehphinn,麥片
beehphinn,be̍eh-phìnn
beejio,馬尿
beejio,bée-jiō
beeka,馬鮫
beeka,bée-ka
beekhitau,馬齒豆
beekhitau,bée-khí-tāu
beekiann,馬囝
beekiann,bée-kiánn
beekiu,馬球
beekiu,bée-kiû
beekua,馬褂
beekua,bée-kuà
beelat,馬力
beelat,bée-la̍t
beeliau,馬料
beeliau,bée-liāu
beelo,瑪瑙
beelo,bée-ló
beeloo,馬路
beeloo,bée-lōo
beephio,馬票
beephio,bée-phiò
beepinn,馬鞭
beepinn,bée-pinn
beepio,馬標
beepio,bée-pio
beepoo,馬步
beepoo,bée-pōo
beesai,馬屎
beesai,bée-sái
beesut,馬術
beesut,bée-su̍t
beete,馬蹄
beete,bée-tê
beeteng,馬釘
beeteng,bée-teng
beetesoo,馬蹄酥
beetesoo,bée-tê-soo
beethang,馬桶
beethang,bée-tháng
beethau,馬頭
beethau,bée-thâu
beethau,碼頭
beethau,bée-thâu
beetiau,馬牢
beetiau,bée-tiâu
beetiaunn,馬場
beetiaunn,bée-tiâunn
beetionn,馬場
beetionn,bée-tiônn
beetshia,馬車
beetshia,bée-tshia
beetsi,馬薺
beetsi,bée-tsî
beeuann,馬鞍
beeuann,bée-uann
behak,袂合
behak,bē-ha̍k
behek,迷惑
behek,bê-he̍k
behiau,袂曉
behiau,bē-hiáu
behnee,欲呢
behnee,beh-nêe
beho,袂和
beho,bē-hô
behoh,欲學
behoh,beh-o̍h
behong,賣方
behong,bē-hong
behopuann,袂和盤
behopuann,bē-hô-puânn
behu,袂赴
behu,bē-hù
behua,欲倚
behua,beh-uá
behunioh,迷魂藥
behunioh,bê-hûn-io̍h
beiaukin,袂要緊
beiaukin,bē-iàu-kín
beiong,袂用
beiong,bē-iōng
beiongtit,袂用得
beiongtit,bē-iōng-tit
bejin,袂認
bejin,bē-jīn
bejip,買入
bejip,bé-ji̍p
bek,陌
bek,be̍k
bek,墨
bek,be̍k
bek,默
bek,be̍k
bekee,買價
bekee,bé-kèe
bekee,賣價
bekee,bē-kèe
bekhailui,袂開鐳
bekhailui,bē-khai-lui
bekham,袂堪
bekham,bē-kham
bekhui,袂開
bekhui,bē-khui
beki,袂記
beki,bē-kì
bekiansiau,袂見笑
bekiansiau,bē-kiàn-siàu
beku,袂久
beku,bē-kú
bekuai,袂怪
bekuai,bē-kuài
bekuaitit,袂怪得
bekuaitit,bē-kuài-tit
bekue,袂過
bekue,bē-kuè
bekuesim,袂過心
bekuesim,bē-kuè-sim
bekuetsui,袂過水
bekuetsui,bē-kuè-tsuí
beliau,袂了
beliau,bē-liáu
beliauli,袂了離
beliauli,bē-liáu-lî
beliausi,袂了時
beliausi,bē-liáu-sî
beloo,迷路
beloo,bê-lōo
beluan,袂亂
beluan,bē-luān
belun,袂忍
belun,bē-lún
beng,猛
beng,bíng
beng,冥
beng,bîng
beng,盟
beng,bîng
beng,銘
beng,bîng
beng,鳴
beng,bîng
beng,螟
beng,bîng
beng,孟
beng,bīng
bengbeng,明明
bengbeng,bêng-bêng
bengbong,名望
bengbong,bêng-bōng
benggi,名義
benggi,bêng-gī
benghian,明顯
benghian,bêng-hián
benghoo,明呼
benghoo,bêng-hoo
benghue,猛火
benghue,béng-hué
benghue,明火
benghue,bêng-hué
benghun,冥婚
benghun,bêng-hun
bengi,名醫
bengi,bêng-i
bengiu,盟友
bengiu,bêng-iú
bengkai,明解
bengkai,bêng-kái
Bengkanhiong,名間鄉
Bengkanhiong,Bêng-kan-hiong
bengkhak,明確
bengkhak,bêng-khak
bengkhim,猛禽
bengkhim,béng-khîm
bengkong,明講
bengkong,bêng-kóng
bengleng,命令
bengleng,bēng-lēng
bengli,明理
bengli,bêng-lí
bengli,名利
bengli,bêng-lī
bengliau,明瞭
bengliau,bêng-liâu
benglong,明朗
benglong,bêng-lóng
bengpek,明白
bengpek,bêng-pe̍k
bengphinn,名片
bengphinn,bêng-phìnn
bengsan,名產
bengsan,bêng-sán
bengseng,名勝
bengseng,bêng-sèng
bengsi,明示
bengsi,bêng-sì
bengsiong,冥想
bengsiong,bêng-sióng
bengsiu,猛獸
bengsiu,béng-siù
bengte,命題
bengte,bēng-tê
Bengtek,明德
Bengtek,Bêng-tek
bengti,明智
bengti,bêng-tì
bengtiau,明朝
bengtiau,bêng-tiâu
bengtsai,明知
bengtsai,bêng-tsai
bengtshenn,明星
bengtshenn,bêng-tshenn
bengtsiong,猛將
bengtsiong,béng-tsiòng
bengu,名譽
bengu,bêng-ū
bephainnse,袂歹勢
bephainnse,bē-pháinn-sè
besai,袂使
besai,bē-sái
besaiannee,袂使按呢
besaiannee,bē-sái-án-nee
besiam,袂閃
besiam,bē-siám
besiubue,袂收尾
besiubue,bē-siu-bué
besiusuah,袂收煞
besiusuah,bē-siu-suah
besong,袂爽
besong,bē-sóng
besu,袂輸
besu,bē-su
besuah,袂煞
besuah,bē-suah
betahan,袂扙捍
betahan,bē-tá-hān
bethan,袂趁
bethan,bē-thàn
bethong,袂通
bethong,bē-thong
betiam,袂恬
betiam,bē-tiām
betiaunn,賣場
betiaunn,bē-tiâunn
betiautit,袂條直
betiautit,bē-tiâu-ti̍t
betionn,賣場
betionn,bē-tiônn
betong,袂擋
betong,bē-tòng
betsau,袂走
betsau,bē-tsáu
betsaue,袂走兮
betsaue,bē-tsáu-ê
betsekoo,袂祭孤
betsekoo,bē-tsè-koo
betshia,買車
betshia,bé-tshia
betsiahkhoo,袂食苦
betsiahkhoo,bē-tsia̍h-khóo
betsotit,袂做得
betsotit,bē-tsò-tit
betsun,袂準
betsun,bē-tsún
betsun,袂准
betsun,bē-tsún
bianek,免疫
bianek,bián-e̍k
bianeklek,免疫力
bianeklek,bián-e̍k-le̍k
Bianlan,棉蘭
Bianlan,Biân-lân
bianse,免稅
bianse,bián-se
biansiausiaunn,免數想
biansiausiaunn,bián-siàu-siāunn
biansiausionn,免數想
biansiausionn,bián-siàu-siōnn
biantian,緬甸
biantian,biàn-tiān
biantsinnpuinn,免錢飯
biantsinnpuinn,bián-tsînn-puīnn
biatkhau,滅口
biatkhau,bia̍t-kháu
Biaulek,苗栗
Biaulek,Biâu-le̍k
Biaulekkuan,苗栗縣
Biaulekkuan,Biâu-le̍k-kuān
Biaulektshi,苗栗市
Biaulektshi,Biâu-le̍k-tshī
bibiatshio,微微仔笑
bibiatshio,bî-bî-á-tshiò
bidan,媚妲
bidan,bī-dân
bihsinn,篾扇
bihsinn,bi̍h-sìnn
bikee,米價
bikee,bí-kèe
bikeng,米間
bikeng,bí-keng
bikeng,美景
bikeng,bí-kéng
bikok,美國
bikok,bí-kok
bikomuai,米糕糜
bikomuai,bí-ko-muâi
bikoomuai,米糊糜
bikoomuai,bí-kôo-muâi
bikosionn,米糕𣻸
bikosionn,bí-ko-siônn
bilek,魅力
bilek,bī-le̍k
bileng,米奶
bileng,bí-leng
biliap,米粒
biliap,bí-lia̍p
binan,民安
binan,bîn-an
binang,面紅
binang,bīn-âng
binbong,民望
binbong,bîn-bōng
bineng,民營
bineng,bîn-êng
binenghua,民營化
binenghua,bîn-êng-huà
binheng,面形
binheng,bīn-hêng
binioo,米糧
binioo,bí-niôo
biniubinkhiu,面憂面虯
biniubinkhiu,bīn-iu-bīn-khiû
binkhak,面殼
binkhak,bīn-khak
binkheng,面框
binkheng,bīn-kheng
binko,面膏
binko,bīn-ko
binlian,民聯
binlian,bîn-liân
binsek,面色
binsek,bīn-sek
binsek,面熟
binsek,bīn-se̍k
binseng,民生
binseng,bîn-seng
binteng,面頂
binteng,bīn-téng
binthautseng,面頭前
binthautseng,bīn-thâu-tsêng
bintsek,面積
bintsek,bīn-tsek
bintseng,民政
bintseng,bîn-tsèng
bintseng,面前
bintseng,bīn-tsêng
bintsengkiok,民政局
bintsengkiok,bîn-tsèng-kio̍k
bintsengtong,民政黨
bintsengtong,bîn-tsèng-tóng
bintshenntshenn,面怔怔
bintshenntshenn,bīn-tshenn-tshenn
bintshngkha,眠床骹
bintshngkha,bîn-tshn̂g-kha
bintshngkiann,眠床囝
bintshngkiann,bîn-tshn̂g-kiánn
bintshuikhi,抿喙齒
bintshuikhi,bín-tshuì-khí
bintsitee,眠一下
bintsitee,bîn--tsi̍t-ēe
bintuibin,面對面
bintuibin,bīn-tuì-bīn
biohue,廟會
biohue,biō-huē
biokhau,廟口
biokhau,biō-kháu
bioo,美湖
bioo,bí-ôo
biotng,廟堂
biotng,biō-tn̂g
biotseng,秒鐘
biotseng,bió-tseng
biotsiok,廟祝
biotsiok,biō-tsiok
bipuinn,米飯
bipuinn,bí-puīnn
bisek,米色
bisek,bí-sek
Bisek,美式
Bisek,Bí-sek
bisek,美色
Bisek,Bí-sek
bisutka,美術家
